event	time	node	configname	repetition	platoon_size
5074255	715.230195853174	Highway.node[90].appl	SimpleHighNumberCACC	2	2.3754676252047e-320
5123004	718.785618771232	Highway.node[70].appl	SimpleHighNumberCACC	2	3.6237699779307
5123196	718.785886867522	Highway.node[68].appl	SimpleHighNumberCACC	2	1.7015620842773e-320
5140608	720.02381723692	Highway.node[82].appl	SimpleHighNumberCACC	2	7.0532014709036
5140811	720.024072333075	Highway.node[80].appl	SimpleHighNumberCACC	2	2.2534334106819e-320
52103	79.727606247827	Highway.node[3].appl	SimpleHighNumberCACC	2	5.5931253964842
52220	79.72783531406	Highway.node[2].appl	SimpleHighNumberCACC	2	1.4327903729396e-322
5235159	726.897587056614	Highway.node[93].appl	SimpleHighNumberCACC	2	5.2596220764646
5235320	726.897816123016	Highway.node[92].appl	SimpleHighNumberCACC	2	2.4342614370598e-320
5355954	735.776789897648	Highway.node[95].appl	SimpleHighNumberCACC	2	5.0952577782036
5356105	735.777018964291	Highway.node[94].appl	SimpleHighNumberCACC	2	2.5024424961859e-320
5667883	758.209618456272	Highway.node[97].appl	SimpleHighNumberCACC	2	5.4248548393172
5668044	758.209886522608	Highway.node[96].appl	SimpleHighNumberCACC	2	2.527145778478e-320
5680799	759.093659856463	Highway.node[68].appl	SimpleHighNumberCACC	2	6.6691191040421
5681002	759.093915012725	Highway.node[64].appl	SimpleHighNumberCACC	2	2.6165716603752e-320
574572	245.075736237754	Highway.node[25].appl	SimpleHighNumberCACC	2	5.7123617840323
574757	245.075965304048	Highway.node[24].appl	SimpleHighNumberCACC	2	5.0888761521648e-321
5860142	771.462664908375	Highway.node[76].appl	SimpleHighNumberCACC	2	10.275912446666
5860310	771.462894065089	Highway.node[72].appl	SimpleHighNumberCACC	2	2.4377198965807e-320
5880605	772.790394899915	Highway.node[99].appl	SimpleHighNumberCACC	2	5.2706696873125
5880760	772.790636967321	Highway.node[98].appl	SimpleHighNumberCACC	2	2.5933505750207e-320
6039847	783.552306547343	Highway.node[101].appl	SimpleHighNumberCACC	2	5.2027828688599
6040020	783.552600613699	Highway.node[100].appl	SimpleHighNumberCACC	2	2.6560969120425e-320
613817	252.81845734294	Highway.node[27].appl	SimpleHighNumberCACC	2	5.4241556520079
613996	252.818751409384	Highway.node[26].appl	SimpleHighNumberCACC	2	5.8151526515515e-321
6201798	794.348620751264	Highway.node[94].appl	SimpleHighNumberCACC	2	8.8411418034482
6201962	794.348836847737	Highway.node[92].appl	SimpleHighNumberCACC	2	2.6101488069793e-320
6387600	806.256429376984	Highway.node[103].appl	SimpleHighNumberCACC	2	5.6452654334775
6387773	806.256671443393	Highway.node[102].appl	SimpleHighNumberCACC	2	2.685740850793e-320
64871	87.706801000833	Highway.node[5].appl	SimpleHighNumberCACC	2	5.2187620469086
65004	87.707056067089	Highway.node[4].appl	SimpleHighNumberCACC	2	3.7548989083935e-322
6555299	816.717348287983	Highway.node[105].appl	SimpleHighNumberCACC	2	5.3543136641541
6555512	816.717603354381	Highway.node[104].appl	SimpleHighNumberCACC	2	2.7460168595856e-320
6722693	827.060308698556	Highway.node[86].appl	SimpleHighNumberCACC	2	4.7300973199896
6722909	827.060602793404	Highway.node[84].appl	SimpleHighNumberCACC	2	2.225271668869e-320
6751571	828.706584660691	Highway.node[107].appl	SimpleHighNumberCACC	2	5.2841418738633
6751740	828.706891727259	Highway.node[106].appl	SimpleHighNumberCACC	2	2.8038225401491e-320
